n_samples,idx,maxes
10,813,78
10,814,182
10,815,45
10,816,3532
10,817,951
10,818,2604
10,819,76
10,820,1636
10,821,49
10,822,13
10,823,27
10,824,12
10,825,79612
10,826,1049
10,827,279
10,828,158
10,829,7870
10,830,1258
10,831,7477
10,832,21
10,833,1417
10,834,70
10,835,21545
10,836,18
10,837,146
10,838,11
10,839,140
10,840,242
10,841,1103017
10,842,75
10,843,489
10,844,53885
10,845,2543
10,846,407
10,847,10
10,848,11796
10,849,551
10,850,394
10,851,41
10,852,343
10,853,708
10,854,43
10,855,468
10,856,1623
10,857,171784
10,858,83
10,859,151
10,860,53
10,861,209
10,862,7
10,863,94
10,864,263
10,865,1388
10,866,1028859
10,867,666
10,868,753
10,869,2767
10,870,1331
10,871,6
10,872,144
10,873,13804
10,874,482
10,875,20
10,876,58
10,877,2767
10,878,1350
10,879,902
10,880,24
10,881,685
10,882,6265
10,883,2031
10,884,41
10,885,703
10,886,13
10,887,83
10,888,596
10,889,3217
10,890,189
10,891,75
10,892,45
10,893,2924
10,894,144
10,895,1133
10,896,11776
10,897,25174
10,898,733
10,899,64
10,900,242628
10,901,28
10,902,1745
10,903,1033
10,904,105
10,905,48
10,906,132
10,907,468
10,908,136
10,909,43
10,910,19
10,911,286
10,912,10
10,913,18808291
10,914,2907
10,915,8
10,916,51
10,917,26
10,918,155
10,919,204
10,920,9214
10,921,166
10,922,4078
10,923,77
10,924,13
10,925,141
10,926,17847
10,927,186
10,928,1483
10,929,108
10,930,8416
10,931,4058
10,932,2073
10,933,24
10,934,122
10,935,8101
10,936,35
10,937,47
10,938,155
10,939,17
10,940,205
10,941,19
10,942,513
10,943,34712
10,944,1951
10,945,8184
10,946,202
10,947,1218
10,948,145
10,949,1941
10,950,22
10,951,62
10,952,549
10,953,10
10,954,156
10,955,588
10,956,27
10,957,63
10,958,62
10,959,179
10,960,7
10,961,16
10,962,67249
10,963,61
10,964,182
10,965,170
10,966,539
10,967,31
10,968,562
10,969,4474
10,970,151
10,971,79
10,972,23
10,973,90
10,974,100
10,975,1491
10,976,30
10,977,155
10,978,753
10,979,24748
10,980,1233
10,981,23
10,982,655
10,983,269
10,984,4838
10,985,4274
10,986,41657
10,987,188
10,988,141
10,989,366
10,990,218
10,991,16
10,992,59
10,993,30
10,994,12500
10,995,78
10,996,353
10,997,470
10,998,504
10,999,268
10,1000,1184
100,1,777
100,2,297932
100,3,9181
100,4,4858
100,5,4484924
100,6,295659
100,7,6245
100,8,3614
100,9,1017
100,10,10952
100,11,82981
100,12,300717
100,13,4245
100,14,641
100,15,63355202
100,16,1539
100,17,27273
100,18,4380
100,19,1538
100,20,153184
100,21,11107614
100,22,412506
100,23,292136
100,24,5964
100,25,187923
100,26,12889
100,27,55336
100,28,2280
100,29,142786
100,30,556266
100,31,289
100,32,3516
100,33,91554
100,34,23834
100,35,728580
100,36,5136853
100,37,1676
100,38,169105
100,39,37330
100,40,2575
100,41,3412
100,42,2301
100,43,10870
100,44,58118
100,45,10850
100,46,4297
100,47,323116
100,48,12269
100,49,36297
100,50,1977
100,51,3996
100,52,36009
100,53,11960
100,54,559719
100,55,120481
100,56,3163
100,57,515
100,58,1035525
100,59,6989
100,60,13471
100,61,251916
100,62,485744
100,63,44246
100,64,20924
100,65,5535
100,66,8253
100,67,15573
100,68,12838
100,69,176492
100,70,122016
100,71,2863
100,72,5704336
100,73,3152
100,74,119624
100,75,2899792
100,76,3986
100,77,10946
100,78,7753
100,79,1545
100,80,106367
100,81,720155
100,82,10505019
100,83,1352
100,84,67147
100,85,218199
100,86,80590
100,87,44455
100,88,12116
100,89,7589
100,90,20675
100,91,13103
100,92,31935
100,93,18968
100,94,96651
100,95,9763
100,96,2471
100,97,1629
100,98,14027
100,99,17072
100,100,4349
100,101,1575
100,102,148233
100,103,10200
100,104,3082
100,105,523779
100,106,221800
100,107,18241
100,108,277252
100,109,1937971
100,110,9361147
100,111,13019
100,112,2307
100,113,15278087
100,114,19049
100,115,5428
100,116,15396
100,117,5095
100,118,147402
100,119,85331
100,120,78371
100,121,5621
100,122,12389
100,123,33823
100,124,49155
100,125,4513544
100,126,8900
100,127,631412
100,128,26421
100,129,4541555
100,130,6938
100,131,2952
100,132,1052
100,133,18628
100,134,117546
100,135,1801479
100,136,74915
100,137,7180
100,138,277527
100,139,3390
100,140,4137
100,141,294712
100,142,7050
100,143,673575
100,144,9694
100,145,1687
100,146,215374
100,147,312557
100,148,498558
100,149,6667
100,150,3541757
100,151,32184
100,152,1851
100,153,629925
100,154,215846
100,155,35152
100,156,3137
100,157,246995
100,158,62163
100,159,400
100,160,9081885
100,161,23903
100,162,34364874
100,163,211252478
100,164,2275
100,165,7607
100,166,2392
100,167,3230843
100,168,1046
100,169,171024
100,170,75857
100,171,151063
100,172,6906217
100,173,2976
100,174,22197
100,175,23047462
100,176,26325
100,177,156321
100,178,1816
100,179,10555939
100,180,11077
100,181,2493
100,182,777
100,183,1808751
100,184,19950
100,185,87777
100,186,11082
100,187,2369
100,188,100620
100,189,14868
100,190,3281
100,191,95450
100,192,14518
100,193,2262
100,194,3275
100,195,573808
100,196,112882
100,197,39478
100,198,6544
100,199,34608754
100,200,2783859
100,201,296316
100,202,45190
100,203,7599
100,204,53255
100,205,3431
100,206,136993
100,207,5300
100,208,1960
100,209,3482
100,210,8002279
100,211,52265
100,212,514474
100,213,3048
100,214,526558
100,215,15024
100,216,6717
100,217,3816
100,218,575369
100,219,237541
100,220,13880
100,221,23982
100,222,1304
100,223,106186
100,224,53863
100,225,144963
100,226,5124
100,227,20666
100,228,276
100,229,121502
100,230,3045
100,231,807229
100,232,89072
100,233,10290253
100,234,14875
100,235,2512
100,236,401484
100,237,1659
100,238,8221
100,239,253533
100,240,28427
100,241,54762
100,242,2671
100,243,7108
100,244,3906
100,245,11087
100,246,2210466
100,247,2393
100,248,11929
100,249,376
100,250,1342020
100,251,44230
100,252,55570
100,253,12907
100,254,67182
100,255,7836
100,256,15460
100,257,57890
100,258,23328910
100,259,1008
100,260,29414
100,261,2819
100,262,54943
100,263,3739
100,264,29832
100,265,59266
100,266,4492
100,267,38814
100,268,8286
100,269,339593
100,270,3678
100,271,2066
100,272,7144
100,273,3749
100,274,60570
100,275,75942
100,276,428934
100,277,15060
100,278,2955
100,279,29304
100,280,8259
100,281,141470
100,282,2289
100,283,1227
100,284,1934
100,285,25634
100,286,4554685
100,287,869944
100,288,18231
100,289,3360
100,290,1942
100,291,8006
100,292,37674
100,293,31773
100,294,144744
100,295,7518
100,296,14423
100,297,94621
100,298,35610
100,299,1306
100,300,388763
100,301,1702
100,302,299738
100,303,14635
100,304,286441
100,305,95305
100,306,2605
100,307,14113
100,308,47671
100,309,4134
100,310,21702
100,311,91602
100,312,827238
100,313,20369003
100,314,5602
100,315,1052
100,316,1144
100,317,26081
100,318,26090
100,319,2856
100,320,76862
100,321,262374
100,322,2510
100,323,6530
100,324,19146
100,325,285119
100,326,12752
100,327,76727606
100,328,91440
100,329,233019
100,330,8691
100,331,9272
100,332,445
100,333,2372
100,334,523
100,335,1441090
100,336,9934
100,337,67405
100,338,4332701
100,339,147489
100,340,16861
100,341,126508
100,342,354857377
100,343,2914
100,344,97747
100,345,14048
100,346,75772
100,347,7747
100,348,1024
100,349,966050
100,350,3108
100,351,148753
100,352,16211
100,353,36393
100,354,1155
100,355,503387
100,356,140632334
100,357,8458
100,358,5289
100,359,2133
100,360,14768
100,361,7530
100,362,101639
100,363,4494
100,364,767059
100,365,30798
100,366,285216
100,367,127841
100,368,16438
100,369,2335
100,370,1526
100,371,10253
100,372,366
100,373,1003
100,374,341865
100,375,5373
100,376,17717162
100,377,40394350
100,378,87664
100,379,635503
100,380,14742
100,381,7260
100,382,60882
100,383,5113
100,384,3331
100,385,2780
100,386,863959
100,387,109393
100,388,403
100,389,1700770
100,390,3411
100,391,847787
100,392,7718
100,393,347534
100,394,11298
100,395,29329
100,396,4814033
100,397,24123
100,398,59098
100,399,2270
100,400,450415
100,401,39676013
100,402,12443
100,403,27708
100,404,93577
100,405,34616
100,406,9920
100,407,2715
100,408,257945
100,409,1947
100,410,952234
100,411,4048
100,412,574
100,413,4056
100,414,263335
100,415,10196
100,416,2435
100,417,11433
100,418,8600
100,419,202885
100,420,49139
100,421,158446
100,422,170784
100,423,19432
100,424,642
100,425,144651
100,426,2170
100,427,13587
100,428,3519
100,429,73414
100,430,528528
100,431,31819
100,432,63729
100,433,30715
100,434,27081
100,435,5261
100,436,2851
100,437,20406
100,438,166382
100,439,178635808
100,440,2182
100,441,4904
100,442,11952
100,443,86945
100,444,85199
100,445,24108
100,446,137572
100,447,4254893
100,448,7483999
100,449,23802
100,450,12701
100,451,1273
100,452,31533
100,453,36385
100,454,3473
100,455,2813
100,456,748
100,457,284625
100,458,256826
100,459,106194
100,460,109247
100,461,64977
100,462,160808
100,463,3061584
100,464,92304
100,465,71795
100,466,36034916
100,467,410
100,468,9617
100,469,16817
100,470,104697
100,471,1788735
100,472,55850
100,473,179121
100,474,2860501
100,475,26949
100,476,113827
100,477,7204
100,478,15851
100,479,4147
100,480,3090
100,481,19464
100,482,51811
100,483,88915
100,484,21926
100,485,58538
100,486,1268
100,487,318
100,488,38734857
100,489,260558384
100,490,5154595
100,491,5351
100,492,173147
100,493,7610
100,494,218780
100,495,4274
100,496,5627
100,497,1466
100,498,50544
100,499,139679
100,500,76324
100,501,668129
100,502,30558
100,503,945903
100,504,30401
100,505,134696
100,506,16410
100,507,15433
100,508,1005208
100,509,280682
100,510,18399
100,511,2650
100,512,336104
100,513,5437
100,514,3522
100,515,4285
100,516,2112
100,517,67366628
100,518,2692
100,519,28005
100,520,210930
100,521,8123
100,522,6726
100,523,292158
100,524,111487496
100,525,283008
100,526,6347
100,527,3907
100,528,6316
100,529,272
100,530,702373
100,531,33572
100,532,70199
100,533,29255
100,534,7820
100,535,1667346
100,536,5022
100,537,32330
100,538,2337106
100,539,74224
100,540,14139
100,541,22122
100,542,15354
100,543,5285
100,544,48089
100,545,1323
100,546,55221
100,547,5933
100,548,13998
100,549,69063
100,550,809957
100,551,39936
100,552,147563
100,553,1557455
100,554,74049
100,555,5064
100,556,410180
100,557,5156
100,558,6053
100,559,116723
100,560,82156
100,561,45014
100,562,14569
100,563,276313
100,564,17009
100,565,2847
100,566,5372
100,567,6388
100,568,12054
100,569,5467
100,570,3681
100,571,26187
100,572,8234
100,573,12183
100,574,48677
100,575,1025
100,576,117213
100,577,5131
100,578,56816
100,579,19502
100,580,329742
100,581,90127
100,582,149714
100,583,105439
100,584,105679
100,585,4070
100,586,1601
100,587,3725
100,588,102328
100,589,40014
100,590,969
100,591,3092
100,592,4172
100,593,61994
100,594,48378
100,595,10431
100,596,15163
100,597,13072
100,598,33851
100,599,4493
100,600,20754
100,601,2363398
100,602,29397
100,603,108657
100,604,675
100,605,392576
100,606,12269
100,607,5645
100,608,103340
100,609,36992
100,610,1210
100,611,65873
100,612,36257445
100,613,4444
100,614,65343
100,615,6262
100,616,7860
100,617,6830
100,618,16197
100,619,14538
100,620,6494
100,621,2899
100,622,255277
100,623,55708
100,624,1650490
100,625,18980
100,626,387234
100,627,20658
100,628,9785
100,629,59590
100,630,10996
100,631,4315
100,632,5266
100,633,6311
100,634,527835
100,635,10732
100,636,129408
100,637,689761
100,638,29139
100,639,37509
100,640,24704
100,641,2556
100,642,11174
100,643,13024
100,644,8202
100,645,654
100,646,1104
100,647,15252591
100,648,32500
100,649,1770
100,650,2978
100,651,11050
100,652,302677
100,653,7798
100,654,1906
100,655,2817
100,656,26113
100,657,829
100,658,5760
100,659,367418
100,660,27304
100,661,302599
100,662,2605
100,663,6329
100,664,18099
100,665,6255
100,666,112734
100,667,4646
100,668,7520
100,669,2635
100,670,3893
100,671,59084
100,672,14391
100,673,2486
100,674,4845
100,675,2489
100,676,36629
100,677,6550
100,678,4238303
100,679,64857
100,680,2049
100,681,99467
100,682,691701
100,683,750146
100,684,44294
100,685,3060
100,686,5941
100,687,3717
100,688,388806
100,689,4275
100,690,93463
100,691,5410
100,692,95349
100,693,4224
100,694,19887
100,695,97114
100,696,2518
100,697,2877
100,698,7021
100,699,30997
100,700,26934
100,701,14576
100,702,125441
100,703,8244
100,704,49594
100,705,2032
100,706,13776
100,707,92289
100,708,1303
100,709,41803
100,710,50475
100,711,7900
100,712,106199
100,713,42879
100,714,11866
100,715,10452
100,716,167172
100,717,5338708
100,718,73269
100,719,31776
100,720,1919
100,721,2384558
100,722,25259
100,723,2419948
100,724,101340
100,725,72531
100,726,155836
100,727,55355
100,728,43742
100,729,134892
100,730,121020
100,731,141631
100,732,10153
100,733,1123
100,734,8807
100,735,828897
100,736,26093
100,737,7404
100,738,3697
100,739,39543
100,740,4904050
100,741,3585
100,742,145175
100,743,2129
100,744,13244
100,745,20201
100,746,82029
100,747,19329
100,748,20106
100,749,3246
100,750,24039
100,751,4846
100,752,6993
100,753,20708
100,754,1897
100,755,226578035890
100,756,4710
100,757,7554
100,758,9319
100,759,6399
100,760,9913013
100,761,4011
100,762,13109
100,763,258923
100,764,4967
100,765,130115
100,766,2685
100,767,27459
100,768,76658
100,769,74687
100,770,2331
100,771,1509
100,772,12133
100,773,2816
100,774,73595
100,775,79260
100,776,59928
100,777,3736
100,778,4052
100,779,915660
100,780,385503
100,781,35420
100,782,5018
100,783,15355
100,784,1005
100,785,77475702
100,786,23468
100,787,1408053
100,788,19885
100,789,342714
100,790,92938
100,791,22941
100,792,12396
100,793,3832
100,794,58004
100,795,12629
100,796,123382
100,797,3476970
100,798,8251
100,799,306097
100,800,166537
100,801,487744
100,802,7155
100,803,386664
100,804,10218
100,805,750980
100,806,46707
100,807,16225
100,808,31630
100,809,22506
100,810,58568
100,811,29330
100,812,16329
100,813,1749
100,814,23299
100,815,12579
100,816,18048
100,817,15343
100,818,13636
100,819,27633
100,820,2761
100,821,16928
100,822,3911
100,823,102930
100,824,16351
100,825,16658
100,826,84899
100,827,40320
100,828,8298808
100,829,3268
100,830,34071
100,831,3301
100,832,3029203
100,833,198308
100,834,803929
100,835,138883
100,836,4244250
100,837,2397
100,838,14348
100,839,1399
100,840,94823
100,841,19062
100,842,315524
100,843,142249
100,844,7646
100,845,60474
100,846,37932
100,847,44999
100,848,11340
100,849,3213
100,850,1881769
100,851,12284924
100,852,1917
100,853,643239
100,854,528
100,855,244787
100,856,137231
100,857,65978
100,858,2175
100,859,10730
100,860,34782
100,861,36114
100,862,14902
100,863,158820
100,864,53873
100,865,51117
100,866,9714
100,867,7679
100,868,1971
100,869,7426
100,870,553530
100,871,7564
100,872,2945
100,873,2833
100,874,26854
100,875,4738
100,876,6431
100,877,263851
100,878,3584
100,879,13526
100,880,65293
100,881,1867
100,882,13228
100,883,5710539
100,884,4249
100,885,7445
100,886,4749
100,887,30958
100,888,34335
100,889,1642
100,890,16257
100,891,1248593
100,892,3391
100,893,2153
100,894,3343
100,895,574652
100,896,4749846
100,897,1346
100,898,271911
100,899,109707
100,900,44672
100,901,280829
100,902,240704
100,903,13019
100,904,11023
100,905,52659
100,906,19823
100,907,4383
100,908,6938
100,909,45453
100,910,110749
100,911,84605
100,912,17921
100,913,197825
100,914,156522
100,915,23848
100,916,41541
100,917,77805
100,918,22737
100,919,2574
100,920,65147
100,921,20332964
100,922,2285
100,923,11197
100,924,47665
100,925,124756
100,926,47832
100,927,96422
100,928,5858
100,929,2007
100,930,24950
100,931,3073
100,932,16891
100,933,940
100,934,2975
100,935,6679
100,936,7376
100,937,6493
100,938,71857
100,939,21292
100,940,29366
100,941,5698
100,942,4717
100,943,21742
100,944,23962
100,945,158544
100,946,6454
100,947,17044
100,948,4475
100,949,1279
100,950,42203
100,951,370750
100,952,961302
100,953,3354
100,954,2628
100,955,62431
100,956,8907712
100,957,1901
100,958,6664653
100,959,3172
100,960,9150
100,961,1714
100,962,2989
100,963,20485
100,964,27481
100,965,6028
100,966,130368
100,967,1492
100,968,46254
100,969,149024929
100,970,42002135
100,971,18461
100,972,9073
100,973,128552
100,974,4616
100,975,38077
100,976,192649
100,977,2017
100,978,24819
100,979,1736
100,980,584713
100,981,6065
100,982,2172
100,983,3786037
100,984,4969
100,985,6044
100,986,4953
100,987,2946
100,988,369983
100,989,2615
100,990,12025
100,991,443394
100,992,26692
100,993,1397
100,994,3317
100,995,130281
100,996,9080
100,997,164087
100,998,18729
100,999,12972642
100,1000,365
1000,1,67878819
1000,2,97974
1000,3,125330
1000,4,192561895
1000,5,1296948793
1000,6,100063
1000,7,74800809
1000,8,3450220
1000,9,142541247620
1000,10,364309
1000,11,1219379
1000,12,219746
1000,13,195803
1000,14,1351131
1000,15,697316
1000,16,2866498
1000,17,54299
1000,18,21783133
1000,19,462303
1000,20,4180056
1000,21,837371
1000,22,8818533
1000,23,219457985
1000,24,2180648
1000,25,158944828764
1000,26,283026
1000,27,317587948
1000,28,13974843
1000,29,7797302
1000,30,9307813
1000,31,4508418
1000,32,1126411
1000,33,1786500
1000,34,4449536
1000,35,28291443
1000,36,1905726
1000,37,29940571
1000,38,10747813
1000,39,9953526
1000,40,913053
1000,41,10116874
1000,42,106782
1000,43,249759
1000,44,3955726
1000,45,201637
1000,46,3517616
1000,47,4531907
1000,48,15288632
1000,49,3300418
1000,50,87135
1000,51,792751
1000,52,117418
1000,53,44729
1000,54,544648
1000,55,673579
1000,56,35245
1000,57,8987036
1000,58,32460961
1000,59,537772
1000,60,1699274
1000,61,882252
1000,62,45681851894
1000,63,4474800
1000,64,3463034
1000,65,2737378
1000,66,1217693
1000,67,2485839
1000,68,21981949
1000,69,214207
1000,70,5123915
